CONTAINER ID   IMAGE                                            COMMAND                  CREATED         STATUS                 PORTS                                                                                                                       NAMES
75622488e093   opensearchproject/opensearch-dashboards:latest   "./opensearch-dashbo…"   8 minutes ago   Up 8 minutes           0.0.0.0:5601->5601/tcp, [::]:5601->5601/tcp                                                                                 woodops_v2_opensearch_dashboards
fa62c9fa431e   apache/nifi:2.8.0                                "../scripts/start.sh"    2 hours ago     Up 2 hours             8000/tcp, 10000/tcp, 0.0.0.0:8443->8443/tcp, [::]:8443->8443/tcp                                                            woodops_v2_nifi
6c50cc6a2a4e   trinodb/trino:latest                             "/usr/lib/trino/bin/…"   2 hours ago     Up 2 hours (healthy)   0.0.0.0:8081->8080/tcp, [::]:8081->8080/tcp                                                                                 woodops_v2_trino
2178f7050f01   opensearchproject/opensearch:latest              "./opensearch-docker…"   3 hours ago     Up 2 hours             0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp, 9300/tcp, 0.0.0.0:9600->9600/tcp, [::]:9600->9600/tcp, 9650/tcp                woodops_v2_opensearch
53bb6bdcff8d   edoburu/pgbouncer:latest                         "/entrypoint.sh /usr…"   3 hours ago     Up 3 hours             5432/tcp, 0.0.0.0:6432->6432/tcp, [::]:6432->6432/tcp                                                                       woodops_v2_pgbouncer
40174c440a96   postgres:16                                      "docker-entrypoint.s…"   3 hours ago     Up 3 hours             0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                                                 woodops_v2_postgres
0d0ad42080c0   dpage/pgadmin4:9                                 "/entrypoint.sh"         3 hours ago     Up 3 hours             443/tcp, 0.0.0.0:5050->80/tcp, [::]:5050->80/tcp                                                                            woodops_v2_pgadmin
7f4747a3d96e   clickhouse/clickhouse-server:latest              "/entrypoint.sh"         3 hours ago     Up 3 hours             0.0.0.0:8123->8123/tcp, [::]:8123->8123/tcp, 9009/tcp, 0.0.0.0:9002->9000/tcp, [::]:9002->9000/tcp                          woodops_v2_clickhouse
d4a5cbccc80b   mongo:7                                          "docker-entrypoint.s…"   3 hours ago     Up 3 hours             0.0.0.0:27017->27017/tcp, [::]:27017->27017/tcp                                                                             woodops_v2_mongo
cce9dfec3d85   minio/minio:latest                               "/usr/bin/docker-ent…"   3 hours ago     Up 3 hours             0.0.0.0:9000-9001->9000-9001/tcp, [::]:9000-9001->9000-9001/tcp                                                             woodops_v2_minio
563ff434f092   tabulario/iceberg-rest:latest                    "java -jar iceberg-r…"   3 hours ago     Up 3 hours             0.0.0.0:8181->8181/tcp, [::]:8181->8181/tcp                                                                                 woodops_v2_iceberg_rest
a7490aff0557   apache/tika:3.2.3.0-full                         "/bin/sh -c 'exec ja…"   3 hours ago     Up 3 hours             0.0.0.0:9998->9998/tcp, [::]:9998->9998/tcp                                                                                 woodops_v2_tika
889f597bc66e   traefik:v3.0                                     "/entrypoint.sh --ap…"   3 hours ago     Up 3 hours             0.0.0.0:80->80/tcp, [::]:80->80/tcp, 0.0.0.0:443->443/tcp, [::]:443->443/tcp, 0.0.0.0:8080->8080/tcp, [::]:8080->8080/tcp   woodops_v2_traefik
f25e105687e9   portainer/portainer-ce:latest                    "/portainer"             3 hours ago     Up 3 hours             8000/tcp, 9000/tcp, 0.0.0.0:9443->9443/tcp, [::]:9443->9443/tcp                                                             portainer
